id;jogging.km;spinning.hr;hamburgers;ice.cream.balls;change.kg
1;269;29;6;35;-7.5
2;79;10;13;23;-0.9
3;112;46;4;22;-6.1
4;172;27;14;28;-4.7
5;273;31;29;47;-7
6;60;12;23;11;1.2
7;270;13;28;11;-6.8
8;284;36;14;21;-8.9
9;198;35;18;17;-6.1
10;189;4;15;44;-1.3
11;18;2;3;9;0.7
12;61;39;7;25;-2
13;53;56;15;21;-4.3
14;206;36;11;28;-7.2
15;115;34;28;33;-0.6
16;231;32;16;49;-4.7
17;149;60;9;11;-10.5
18;216;30;8;12;-7.6
19;298;41;24;40;-8
20;114;36;21;42;1.5
21;234;14;5;5;-11.2
22;281;15;1;49;-7.9
23;63;44;23;7;-4.8
24;196;27;19;7;-7.6
25;37;10;5;47;3.5
26;80;45;1;25;-3
27;116;6;3;7;-4.2
28;4;52;11;17;-3.1
29;115;37;5;33;-4.3
30;261;33;9;15;-10.1
31;102;20;5;17;-3.2
32;145;27;7;7;-5.2
33;180;30;5;33;-6.2
34;148;11;14;9;-5.7
35;56;32;23;48;3.5
36;249;4;0;45;-6.6
37;201;16;16;48;-1.9
38;239;12;27;36;-3
39;32;17;11;18;0.9
40;217;54;1;39;-7.9
41;123;27;4;0;-6.9
42;247;47;9;47;-9.7
43;194;53;4;50;-7.1
44;235;25;4;18;-9.5
45;166;3;6;38;-1.4
46;159;20;7;40;-1.5
47;237;44;4;35;-11.3
48;7;20;30;24;3.9
49;143;38;10;25;-5.3
50;220;51;15;15;-9.7
51;208;52;21;35;-7.8
52;143;23;3;41;-2.8
53;259;23;3;22;-9.3
54;131;54;1;26;-7.5
55;73;39;28;33;0.1
56;21;45;20;7;-0.4
57;29;36;2;17;-1.7
58;95;55;15;20;-3.1
59;156;17;14;4;-5.7
60;199;11;11;47;-3.9
61;122;54;30;42;-2.5
62;274;30;5;44;-8.5
63;88;53;25;47;-1
64;138;11;2;3;-6.1
65;100;46;12;19;-6.4
66;195;44;4;27;-9.4
67;77;57;5;5;-8.4
68;144;33;26;40;-1.2
69;230;43;22;37;-6.4
70;25;23;8;2;-0.2
71;263;6;15;24;-6.8
72;102;56;2;46;-3.5
73;252;17;10;2;-10.5
74;104;36;30;14;-3.9
75;100;6;19;25;1
76;143;51;20;31;-5.4
77;268;19;9;13;-10.7
78;260;47;12;21;-11.9
79;117;16;30;18;0.6
80;233;13;26;48;-0.7
81;289;31;29;6;-9.2
82;130;16;25;3;-3.4
83;214;11;24;49;-2.8
84;120;31;8;22;-4.1
85;97;34;23;18;-1.2
86;227;7;30;7;-4.2
87;61;15;9;2;-1.9
88;214;43;12;33;-7.5
89;36;58;25;29;-1.8
90;73;6;2;50;2.6
91;43;46;11;30;-1.5
92;72;57;13;3;-6.3
93;17;49;4;8;-4.1
94;193;18;18;24;-5.7
95;263;39;30;0;-11
96;234;58;30;22;-8.2
97;239;58;5;13;-13
98;137;20;16;47;-0.4
99;123;16;11;36;-1.4
100;244;10;20;8;-5.8
101;182;19;8;24;-5.4
102;197;31;14;35;-5.2
103;106;56;5;23;-6.4
104;81;31;11;48;-0.8
105;298;18;22;36;-7.1
106;190;2;15;20;-2.3
107;64;25;1;6;-3.5
108;38;52;24;12;-3.7
109;143;21;12;44;-1.5
110;278;8;30;22;-5.2
111;180;22;8;25;-5.6
112;293;38;26;35;-7.7
113;220;23;2;38;-6.8
114;107;42;27;7;-5.2
115;129;42;14;43;-2.3
116;44;33;3;48;0.8
117;3;26;10;30;2.4
118;215;27;25;25;-4.4
119;31;18;8;9;-0.6
120;134;35;18;0;-7.9
121;192;55;25;44;-5.3
122;298;8;2;6;-13.1
123;149;25;21;1;-6
